,word,x,y
99,dr,6.757744312286377,2.948859453201294
100,appointment,5.730579853057861,1.1465386152267456
101,did,-0.5559535622596741,2.0665645599365234
102,when,4.138111114501953,4.563192367553711
103,government,1.3315988779067993,0.7882668375968933
104,states,2.74540376663208,0.5936477780342102
105,between,2.4349443912506104,0.9643751978874207
106,only,1.1354554891586304,2.513164758682251
107,w,7.71843957901001,2.352393627166748
108,read,3.1501641273498535,7.060192584991455
109,himself,1.0962468385696411,2.5373916625976562
110,then,4.7522664070129395,4.332777500152588
111,dined,6.780552387237549,4.353852272033691
112,up,3.5143721103668213,5.324272632598877
113,part,3.0451788902282715,6.835493564605713
114,might,-0.4517955482006073,1.3775160312652588
115,without,0.3379364609718323,1.9815069437026978
116,brought,3.5373754501342773,2.7588891983032227
117,papers,3.4060471057891846,2.4182493686676025
118,walk,5.285129547119141,5.690488815307617
119,took,3.651639223098755,3.4352400302886963
120,letters,3.93464994430542,2.5300378799438477
121,own,0.9683172106742859,3.5763180255889893
122,newyork,5.870354652404785,2.348997116088867
123,left,5.078756332397461,4.937933444976807
124,great,0.9305499792098999,4.970211505889893
125,john,7.607606887817383,2.810472249984741
126,j,7.714432239532471,2.3156566619873047
127,take,0.29516321420669556,1.3655624389648438
128,adams,7.2325239181518555,4.119718551635742
129,united,2.7751216888427734,0.5653437376022339
130,having,2.6491262912750244,2.846776247024536
131,make,0.758453905582428,1.5600687265396118
132,three,4.571903228759766,6.236412525177002
133,what,-0.1668301820755005,2.0838091373443604
134,man,5.08039665222168,3.3926732540130615
135,secretary,5.751592636108398,1.9679439067840576
136,same,1.800727367401123,3.5673470497131348
137,being,1.785012125968933,4.068850517272949
138,into,3.5749757289886475,5.031249046325684
139,dinner,6.329160213470459,4.667431831359863
140,son,7.542454719543457,3.5765483379364014
141,returned,5.549609184265137,5.025537014007568
142,minister,4.941329002380371,1.8608430624008179
143,under,2.8268706798553467,1.3177621364593506
144,whom,5.884726047515869,2.669076442718506
145,where,5.593262672424316,4.940508842468262
146,department,5.645872592926025,1.9181476831436157
147,late,5.468105316162109,2.6520164012908936
148,go,4.77858304977417,4.45446252822876
149,presidents,5.722973346710205,3.082517623901367
150,treaty,2.4708385467529297,0.6347373127937317
151,visit,6.812237739562988,3.6208808422088623
152,crawford,5.664389610290527,2.6197142601013184
153,concerning,2.881155252456665,1.7160108089447021
154,spoke,1.440089464187622,2.1781492233276367
155,subject,0.9650849103927612,2.777501344680786
156,governor,6.843149662017822,1.2265534400939941
157,answer,3.94374418258667,2.2557532787323
158,boston,5.862620830535889,4.620474338531494
159,public,1.2787576913833618,3.1765968799591064
160,several,2.5710337162017822,4.454198837280273
161,these,2.2759740352630615,4.371662616729736
162,senate,2.567850351333618,2.136723041534424
163,war,2.8787994384765625,1.6471158266067505
164,new,4.008492946624756,3.1912949085235596
165,present,2.592963933944702,3.5066704750061035
166,till,4.44382905960083,5.815709590911865
167,its,-0.009449104778468609,3.897934913635254
168,asked,0.8676976561546326,1.2786948680877686
169,company,6.2438859939575195,4.313404083251953
170,coll,6.419871807098389,1.897106647491455
171,gave,3.4728829860687256,3.0333492755889893
