entry,date,places,coordinates,lat,lon
jqadiaries-v49-1825-06-20,1825-06-20,Georgia,"(32.3293809, -83.1137366)",32.3293809,-83.1137366
jqadiaries-v49-1825-06-25,1825-06-25,Boston,"(42.3602534, -71.0582912)",42.3602534,-71.0582912
jqadiaries-v49-1825-06-27,1825-06-27,Georgia,"(32.3293809, -83.1137366)",32.3293809,-83.1137366
jqadiaries-v49-1825-06-27,1825-06-27,New-Orleans,"(29.9499323, -90.0701156)",29.9499323,-90.0701156
jqadiaries-v49-1825-06-27,1825-06-27,N.O.,"(29.9499323, -90.0701156)",29.9499323,-90.0701156
jqadiaries-v49-1825-06-27,1825-06-27,Tayloe,"(32.4481915, -87.4380556)",32.4481915,-87.4380556
jqadiaries-v49-1825-06-28,1825-06-28,S.C.U.S.,"(41.901435750000005, 12.51807280922635)",41.901435750000005,12.51807280922635
jqadiaries-v49-1825-06-28,1825-06-28,Barnesville,"(46.652182, -96.41979)",46.652182,-96.41979
jqadiaries-v49-1825-06-28,1825-06-28,Louisiana,"(30.8703881, -92.007126)",30.8703881,-92.007126
jqadiaries-v49-1825-06-28,1825-06-28,New-Orleans,"(29.9499323, -90.0701156)",29.9499323,-90.0701156
jqadiaries-v49-1825-06-28,1825-06-28,New-Orleans,"(29.9499323, -90.0701156)",29.9499323,-90.0701156
jqadiaries-v49-1825-06-28,1825-06-28,Baltimore,"(39.2908816, -76.610759)",39.2908816,-76.610759
jqadiaries-v49-1825-06-28,1825-06-28,D.C.,"(38.89379365, -76.98799757261312)",38.89379365,-76.98799757261312
jqadiaries-v49-1825-06-28,1825-06-28,Alexandria,"(38.8051095, -77.0470229)",38.8051095,-77.0470229
jqadiaries-v49-1825-06-29,1825-06-29,Georgia,"(32.3293809, -83.1137366)",32.3293809,-83.1137366
jqadiaries-v49-1825-06-29,1825-06-29,Creek,"(10.2735633, -84.0739102)",10.2735633,-84.0739102
jqadiaries-v49-1825-06-29,1825-06-29,Tingey,"(42.0465911, -111.9591195)",42.0465911,-111.9591195
jqadiaries-v49-1825-06-29,1825-06-29,Coln,"(51.7775743, -1.8680279)",51.7775743,-1.8680279
jqadiaries-v49-1825-06-29,1825-06-29,Watkins,"(45.3152415, -94.4086029)",45.3152415,-94.4086029
jqadiaries-v49-1825-06-29,1825-06-29,Baltimore,"(39.2908816, -76.610759)",39.2908816,-76.610759
jqadiaries-v49-1825-06-29,1825-06-29,New-York Legislature,"(42.9580088, -74.3806803)",42.9580088,-74.3806803
jqadiaries-v49-1825-06-29,1825-06-29,Patent,"(42.6772966, -75.0998833)",42.6772966,-75.0998833
jqadiaries-v49-1825-06-29,1825-06-29,Guatemala,"(15.6356088, -89.8988087)",15.6356088,-89.8988087
jqadiaries-v49-1825-06-30,1825-06-30,Sunrise,"(26.1666888, -80.2787573)",26.1666888,-80.2787573
jqadiaries-v49-1825-06-30,1825-06-30,Death,"(50.2537468, 12.4020894)",50.2537468,12.4020894
jqadiaries-v49-1825-06-30,1825-06-30,Georgia,"(32.3293809, -83.1137366)",32.3293809,-83.1137366
jqadiaries-v49-1825-06-30,1825-06-30,Montreal,"(45.4972159, -73.6103642)",45.4972159,-73.6103642
jqadiaries-v49-1825-06-30,1825-06-30,Arden,"(55.8066303, -4.3307561)",55.8066303,-4.3307561
jqadiaries-v49-1825-06-30,1825-06-30,New York,"(40.7127281, -74.0060152)",40.7127281,-74.0060152
jqadiaries-v49-1825-06-xx,1825-06,Southern Mail,"(60.308944100000005, 24.977073717307697)",60.308944100000005,24.977073717307697
jqadiaries-v49-1825-06-xx,1825-06,the King of Israel,"(31.774372200000002, 35.22263462729313)",31.774372200000002,35.22263462729313
jqadiaries-v33-1825-03-01,1825-03-01,North-Carolina,"(35.6729639, -79.0392919)",35.6729639,-79.0392919
jqadiaries-v33-1825-03-01,1825-03-01,Guatemala,"(15.6356088, -89.8988087)",15.6356088,-89.8988087
jqadiaries-v33-1825-03-01,1825-03-01,Ohio,"(40.2253569, -82.6881395)",40.2253569,-82.6881395
jqadiaries-v33-1825-03-01,1825-03-01,Delaware,"(38.6920451, -75.4013315)",38.6920451,-75.4013315
jqadiaries-v33-1825-03-01,1825-03-01,Washington,"(38.8949924, -77.0365581)",38.8949924,-77.0365581
jqadiaries-v33-1825-03-01,1825-03-01,Knapp,"(44.9552414, -92.0754594)",44.9552414,-92.0754594
jqadiaries-v33-1825-03-01,1825-03-01,Watmough,"(48.428434, -122.8132319)",48.428434,-122.8132319
jqadiaries-v33-1825-03-02,1825-03-02,Florida,"(27.7567667, -81.4639835)",27.7567667,-81.4639835
jqadiaries-v33-1825-03-02,1825-03-02,Ohio,"(40.2253569, -82.6881395)",40.2253569,-82.6881395
jqadiaries-v33-1825-03-02,1825-03-02,Wilmington,"(39.7459468, -75.546589)",39.7459468,-75.546589
jqadiaries-v33-1825-03-02,1825-03-02,Delaware,"(38.6920451, -75.4013315)",38.6920451,-75.4013315
jqadiaries-v33-1825-03-02,1825-03-02,Vermont,"(44.5990718, -72.5002608)",44.5990718,-72.5002608
jqadiaries-v33-1825-03-02,1825-03-02,Pennsylvania,"(40.9699889, -77.7278831)",40.9699889,-77.7278831
jqadiaries-v33-1825-03-02,1825-03-02,North-Carolina,"(35.6729639, -79.0392919)",35.6729639,-79.0392919
jqadiaries-v33-1825-03-02,1825-03-02,Maine,"(45.709097, -68.8590201)",45.709097,-68.8590201
jqadiaries-v33-1825-03-02,1825-03-02,Maryland,"(39.5162234, -76.9382069)",39.5162234,-76.9382069
jqadiaries-v33-1825-03-02,1825-03-02,Louisiana,"(30.8703881, -92.007126)",30.8703881,-92.007126
jqadiaries-v33-1825-03-02,1825-03-02,Boston,"(42.3602534, -71.0582912)",42.3602534,-71.0582912
jqadiaries-v33-1825-03-02,1825-03-02,Circus,"(51.38623835, -2.3650584347196446)",51.38623835,-2.3650584347196446
jqadiaries-v33-1825-03-03,1825-03-03,the United States,"(39.7837304, -100.4458825)",39.7837304,-100.4458825
jqadiaries-v33-1825-03-03,1825-03-03,Massachusetts,"(42.3788774, -72.032366)",42.3788774,-72.032366
jqadiaries-v33-1825-03-03,1825-03-03,Connecticut,"(41.6500201, -72.7342163)",41.6500201,-72.7342163
jqadiaries-v33-1825-03-03,1825-03-03,Connecticut,"(41.6500201, -72.7342163)",41.6500201,-72.7342163
jqadiaries-v33-1825-03-03,1825-03-03,Pennsylvania,"(40.9699889, -77.7278831)",40.9699889,-77.7278831
jqadiaries-v33-1825-03-03,1825-03-03,Boston,"(42.3602534, -71.0582912)",42.3602534,-71.0582912
jqadiaries-v33-1825-03-03,1825-03-03,the United States,"(39.7837304, -100.4458825)",39.7837304,-100.4458825
jqadiaries-v33-1825-03-03,1825-03-03,D. Brent,"(51.5631246, -0.2793389)",51.5631246,-0.2793389
jqadiaries-v33-1825-03-03,1825-03-03,Boston,"(42.3602534, -71.0582912)",42.3602534,-71.0582912
jqadiaries-v33-1825-03-04,1825-03-04,the United States,"(39.7837304, -100.4458825)",39.7837304,-100.4458825
jqadiaries-v33-1825-03-04,1825-03-04,the United States,"(39.7837304, -100.4458825)",39.7837304,-100.4458825
jqadiaries-v33-1825-03-04,1825-03-04,the United States,"(39.7837304, -100.4458825)",39.7837304,-100.4458825
jqadiaries-v33-1825-03-04,1825-03-04,Drawing,"(54.2357124, 20.9879562)",54.2357124,20.9879562
jqadiaries-v33-1825-03-05,1825-03-05,North-Carolina,"(35.6729639, -79.0392919)",35.6729639,-79.0392919
jqadiaries-v33-1825-03-05,1825-03-05,Georgia,"(32.3293809, -83.1137366)",32.3293809,-83.1137366
jqadiaries-v33-1825-03-05,1825-03-05,Session,"(19.1977641, -72.6228518)",19.1977641,-72.6228518
jqadiaries-v33-1825-03-05,1825-03-05,the District of Indiana,"(39.7858575, -86.1493831)",39.7858575,-86.1493831
jqadiaries-v33-1825-03-05,1825-03-05,Indiana,"(40.3270127, -86.1746933)",40.3270127,-86.1746933
jqadiaries-v33-1825-03-05,1825-03-05,Indiana,"(40.3270127, -86.1746933)",40.3270127,-86.1746933
jqadiaries-v33-1825-03-05,1825-03-05,Rhode-Island,"(41.7962409, -71.5992372)",41.7962409,-71.5992372
jqadiaries-v33-1825-03-05,1825-03-05,Wilmington,"(39.7459468, -75.546589)",39.7459468,-75.546589
jqadiaries-v33-1825-03-05,1825-03-05,Delaware,"(38.6920451, -75.4013315)",38.6920451,-75.4013315
jqadiaries-v33-1825-03-05,1825-03-05,Mexico,"(22.5000485, -100.000037)",22.5000485,-100.000037
jqadiaries-v33-1825-03-05,1825-03-05,Chargé,"(47.4325108, 1.0310754)",47.4325108,1.0310754
jqadiaries-v33-1825-03-05,1825-03-05,Sweden,"(59.6749712, 14.5208584)",59.6749712,14.5208584
jqadiaries-v33-1825-03-05,1825-03-05,Stockholm,"(59.3251172, 18.0710935)",59.3251172,18.0710935
jqadiaries-v33-1825-03-05,1825-03-05,South-Carolina,"(33.6874388, -80.4363743)",33.6874388,-80.4363743
jqadiaries-v33-1825-03-05,1825-03-05,Mexico,"(22.5000485, -100.000037)",22.5000485,-100.000037
jqadiaries-v33-1825-03-05,1825-03-05,Mexico,"(22.5000485, -100.000037)",22.5000485,-100.000037
jqadiaries-v33-1825-03-05,1825-03-05,Missouri,"(38.7604815, -92.5617875)",38.7604815,-92.5617875
jqadiaries-v33-1825-03-05,1825-03-05,Politics,"(10.3178077, 123.8940917)",10.3178077,123.8940917
jqadiaries-v33-1825-03-05,1825-03-05,Charleston,"(32.7876012, -79.9402728)",32.7876012,-79.9402728
jqadiaries-v33-1825-03-05,1825-03-05,New-York,"(40.7127281, -74.0060152)",40.7127281,-74.0060152
jqadiaries-v33-1825-03-05,1825-03-05,Poinsett,"(35.5730183, -90.6717121)",35.5730183,-90.6717121
jqadiaries-v33-1825-03-05,1825-03-05,Lanark,"(55.6736271, -3.7780361)",55.6736271,-3.7780361
jqadiaries-v33-1825-03-05,1825-03-05,England,"(52.5310214, -1.2649062)",52.5310214,-1.2649062
jqadiaries-v33-1825-03-05,1825-03-05,the States of New-York,"(40.7127281, -74.0060152)",40.7127281,-74.0060152
jqadiaries-v33-1825-03-05,1825-03-05,Maine,"(45.709097, -68.8590201)",45.709097,-68.8590201
jqadiaries-v33-1825-03-05,1825-03-05,Great-Britain,"(54.31536155, -1.9180234948012402)",54.31536155,-1.9180234948012402
jqadiaries-v33-1825-03-06,1825-03-06,Spain,"(39.3260685, -4.8379791)",39.3260685,-4.8379791
jqadiaries-v33-1825-03-06,1825-03-06,New-York,"(40.7127281, -74.0060152)",40.7127281,-74.0060152
jqadiaries-v33-1825-03-06,1825-03-06,England,"(52.5310214, -1.2649062)",52.5310214,-1.2649062
jqadiaries-v33-1825-03-06,1825-03-06,Ohio,"(40.2253569, -82.6881395)",40.2253569,-82.6881395
jqadiaries-v33-1825-03-06,1825-03-06,Mexico,"(22.5000485, -100.000037)",22.5000485,-100.000037
jqadiaries-v33-1825-03-06,1825-03-06,the State of Ohio,"(41.925038, -80.5511918)",41.925038,-80.5511918
jqadiaries-v33-1825-03-06,1825-03-06,Mexico,"(22.5000485, -100.000037)",22.5000485,-100.000037
jqadiaries-v33-1825-03-06,1825-03-06,Baltimore,"(39.2908816, -76.610759)",39.2908816,-76.610759
