entry,date,subject,x,y
jqadiaries-v30-1818-09-19,1818-09-19,,3.057877540588379,4.670017719268799
jqadiaries-v30-1818-09-20,1818-09-20,,1.8909218311309814,3.8517861366271973
jqadiaries-v30-1818-09-21,1818-09-21,,2.0270073413848877,5.126448631286621
jqadiaries-v30-1818-09-22,1818-09-22,,1.4548002481460571,4.669206142425537
jqadiaries-v30-1818-09-23,1818-09-23,,1.546030044555664,4.872034549713135
jqadiaries-v30-1818-09-24,1818-09-24,,1.2234259843826294,6.100954532623291
jqadiaries-v30-1818-09-25,1818-09-25,,2.2005550861358643,4.763818264007568
jqadiaries-v30-1818-09-26,1818-09-26,,1.4910624027252197,4.982666015625
jqadiaries-v30-1818-09-27,1818-09-27,,2.6286754608154297,6.4877543449401855
jqadiaries-v30-1818-09-28,1818-09-28,,2.0131397247314453,5.284791946411133
jqadiaries-v30-1818-09-29,1818-09-29,,-0.7168963551521301,4.04051399230957
jqadiaries-v30-1818-09-30,1818-09-30,,1.9346359968185425,4.275225639343262
jqadiaries-v30-1818-09-xx,1818-09,,1.1738717555999756,5.893818378448486
jqadiaries-v30-1818-06-01,1818-06-01,,-0.02519213780760765,3.5363259315490723
jqadiaries-v30-1818-06-02,1818-06-02,,1.5838212966918945,3.813359260559082
jqadiaries-v30-1818-06-03,1818-06-03,,0.946645200252533,4.087934970855713
jqadiaries-v30-1818-06-04,1818-06-04,,1.9102827310562134,3.822995901107788
jqadiaries-v30-1818-06-05,1818-06-05,,0.3059568703174591,4.108370780944824
jqadiaries-v30-1818-06-06,1818-06-06,,2.0526697635650635,4.812335014343262
jqadiaries-v30-1818-06-07,1818-06-07,,1.9281176328659058,5.165649890899658
jqadiaries-v30-1818-06-08,1818-06-08,,0.7353098392486572,4.308230876922607
jqadiaries-v30-1818-06-09,1818-06-09,,0.564181923866272,4.307858943939209
jqadiaries-v30-1818-06-10,1818-06-10,,1.6354891061782837,3.406986713409424
jqadiaries-v30-1818-06-11,1818-06-11,,1.1289706230163574,4.660837173461914
jqadiaries-v30-1818-06-12,1818-06-12,,0.7792944312095642,3.4308412075042725
jqadiaries-v30-1818-06-13,1818-06-13,,0.8451612591743469,4.311366081237793
jqadiaries-v30-1818-06-14,1818-06-14,,0.7826188802719116,4.8048834800720215
jqadiaries-v30-1818-06-15,1818-06-15,,1.4284512996673584,4.06608772277832
jqadiaries-v30-1818-06-16,1818-06-16,,1.8127015829086304,3.6815896034240723
jqadiaries-v30-1818-06-17,1818-06-17,,0.6802266240119934,4.4539713859558105
jqadiaries-v30-1818-06-18,1818-06-18,,1.4484261274337769,3.562747001647949
jqadiaries-v30-1818-06-19,1818-06-19,,0.5867686867713928,4.0792059898376465
jqadiaries-v30-1818-06-20,1818-06-20,,2.2261440753936768,2.884481906890869
jqadiaries-v30-1818-06-21,1818-06-21,,0.7574615478515625,5.076443672180176
jqadiaries-v30-1818-06-22,1818-06-22,,0.7119796276092529,3.9247148036956787
jqadiaries-v30-1818-06-23,1818-06-23,,0.6796860098838806,3.999648094177246
jqadiaries-v30-1818-06-24,1818-06-24,,1.6618812084197998,4.66621732711792
jqadiaries-v30-1818-06-25,1818-06-25,,-0.3760468363761902,3.6668739318847656
jqadiaries-v30-1818-06-26,1818-06-26,,1.1724933385849,5.327460289001465
jqadiaries-v30-1818-06-27,1818-06-27,,0.6759222745895386,4.538236618041992
jqadiaries-v30-1818-06-28,1818-06-28,,1.7789013385772705,5.718927383422852
jqadiaries-v30-1818-06-29,1818-06-29,,0.13671357929706573,3.792466163635254
jqadiaries-v30-1818-06-30,1818-06-30,,0.6930788159370422,4.38179874420166
jqadiaries-v30-1818-06-xx,1818-06,,0.9603452682495117,6.7134690284729
jqadiaries-v30-1818-05-01,1818-05-01,,-0.924712598323822,3.7840969562530518
jqadiaries-v30-1818-05-02,1818-05-02,,1.267748475074768,4.44131326675415
jqadiaries-v30-1818-05-03,1818-05-03,,-0.5710647106170654,4.053872585296631
jqadiaries-v30-1818-05-04,1818-05-04,,2.5113439559936523,3.8146352767944336
jqadiaries-v30-1818-05-05,1818-05-05,,-0.10892734676599503,2.90460467338562
jqadiaries-v30-1818-05-06,1818-05-06,,1.9661928415298462,3.1364612579345703
jqadiaries-v30-1818-05-07,1818-05-07,,-0.09234026819467545,3.7653746604919434
jqadiaries-v30-1818-05-08,1818-05-08,,-0.7678285837173462,3.4762816429138184
jqadiaries-v30-1818-05-09,1818-05-09,,0.4718717634677887,4.525323867797852
jqadiaries-v30-1818-05-10,1818-05-10,,1.3340506553649902,4.974442481994629
jqadiaries-v30-1818-05-11,1818-05-11,,1.007171392440796,4.005165100097656
jqadiaries-v30-1818-05-12,1818-05-12,,-0.16046908497810364,3.5230014324188232
jqadiaries-v30-1818-05-13,1818-05-13,,-0.3359522223472595,3.4134724140167236
jqadiaries-v30-1818-05-14,1818-05-14,,1.048490047454834,4.187233924865723
jqadiaries-v30-1818-05-15,1818-05-15,,-1.2281785011291504,3.0640673637390137
jqadiaries-v30-1818-05-16,1818-05-16,,1.045977234840393,4.211012840270996
jqadiaries-v30-1818-05-17,1818-05-17,,2.1655120849609375,3.337236166000366
jqadiaries-v30-1818-05-18,1818-05-18,,-0.06971407681703568,3.938452959060669
jqadiaries-v30-1818-05-19,1818-05-19,,-0.09183663874864578,3.9300601482391357
jqadiaries-v30-1818-05-20,1818-05-20,,0.5160719752311707,4.517598628997803
jqadiaries-v30-1818-05-21,1818-05-21,,0.2752660810947418,3.84688663482666
